zh_name,en_name
里奥的网络世界,OLINE WORLD OF LEO
神奇魔法师：序章,An Amazing Wizard: Prologue
海盗王,King Of Pirate Online
纸板 鱼,Cardboard Fish
教堂模拟器,Church Simulator
幽爱夫欧,UFO
黄泉旅客,Head To Hell
黑神话：悟空,Black Myth：Wu Kong
犯罪现场清洁工,Crime Scene Cleaner
江湖录,JIANGHU CHRONICLES
星球大战：亡命之徒,Starwars: outlaws
再来一张,Dungeons & Degenerate Gamblers
圣剑传说：Visions of Mana,Visions of Mana
兵团突击：现代战争,Operation: Polygon Storm
异形工厂2,shapez 2
神之浩劫2,SMITE 2
末日地带2,Endzone 2
高达破坏者4,Gundam Breaker 4
猫咪斗恶龙3,Cat Quest III
偏差者,DEVIATOR
流氓软件,Malware
大鼠帝国,Ratten Reich
无归,No Return
盗日求生,Level Zero: Extraction
静脉注射2,Intravenous 2
恶魔失眠,Demonsomnia
关于我转生变成史莱姆这档事,That Time I Got Reincarnated as a Slime
谍影成双,Spy Alliance
星鸣特攻,Concord
死亡约束,Deathbound
星尘战线,Breachway
琉隐九绝,Nine Tereasures of Liuyin
Fate/stay night 复刻版,Fate/stay night REMASTERED
咒,Incantation
战术突破巫师,Tactical Breach Wizards
尘路之旅,Dustborn
车辆制造,Car Manufacture
酒馆好时光,Inn Tycoon
小小城建,Mini Settlers
姬之岛 悠游夏日,Himegashima Island
持枪松鼠,Squirrel with a Gun
生物枪,BioGun
模型制作世界,KitHack Model Club
花恋月依,Hanako tsuki
生灵之境：亚娃,Creatures of Ava
我的可爱皇后,My Lovely Empress
哥里：可爱大灭绝,Gori:Cuddly Carnage
流星,a wish star
片语：蔚然生长,Fragment: A Story in Growing
赛马娘 热血喧闹大感谢祭！,Umamusume: Pretty Derby – Party Dash
完美恋人~fragile love,The Perfect Lover
星球大战：赏金猎人,Star Wars:Bounty Hunter
舞台奏像剧遥远的El Dorado,Revue Starlight El Dorado
星石传说,Flowstone Saga
塔拉萨号：Edge of the Abyss,Thalassa: Edge of the Abyss
浮游,FuYou
筑巢华琳酱,Suzukuri Dungeon: Karin in the Mountain
唐草卡,Vinecard
他是谁：逃出生天,Let Me Out
烛光迷局：悲鸣,Candlelight: Lament
重生！我在古代遇佳人,Rebirth! New Lover
纸袋勇者,Pape Rangers
无限世界：轮回小队,Infinite World:Dice Team
幽灵猎人：序幕,Ghostbane: Prologue
粘粘世界2,World of goo 2
守护与智友,Ai Vpet
玩个Gui,Loopstructor
忘却前夜,Morimens
幽灵猎人,Ghostbane
圣心战劫,The Battle of Sacred Heart
战锤40K：急速狂飙,"Warhammer 40,000: Speed Freeks"
整蛊鸦,Just Crow Things
时尚梦想家,Retail Company Simulator
圣诞节与僵尸共舞～,Zombie Police～
梦恋依心,Yixin
城堡征服者,War Of Castles
幻想乡之玉,Gensokyo Orb
缘结迷境,OMUSUBI
幽灵少女莱斯灵,Ghost Girl Lasling (G-rated)
逐鹿问鼎：君王成长计划,Strive for power:King Growth Program
离亚世界,Elrentaros Wanderings
麦登橄榄球25,EA SPORTS™ Madden NFL 25
七度荒域：混沌之树,7th Domain:Tree of Chaos
放这里吧,Put it here
小生活-悠闲小镇物语,Little Life: Idyllic Town Tales
恐龙部落,DinoTribe
元卡牌2,MetaCard2
睡前请闭灯,Bedtime:turn off the life
太古魔影,Ancient Demon Shadow
命运挽歌,Elegy of Fate
黑枪神悟空2：序章,Wukong Survivors : Prologue
吃一口拉一坨,snatch&swallow
家屋探索,Japanese House Exploration
花火与幽灵少女,Hanabi and Ghost girl
元素孤旅,Elemental Exiles
炒饭大师,MASTER OF FRIED RICE
炼金迷城,Alchemy in Dungeon
吞食一统中原,Tunshi unifying plains
漂流佣兵：重生,Wander Hero:Rebirth
恐怖学校模拟器 3,Scary School Simulator 3
休闲木鱼,CasualMuyu
Apex Legends：导线管免费解锁捆绑包,Apex Legends: Conduit Free Unlock Bundle
共鸣：安可,ReMix:Encore
绿尸寒,GreenColdBody
心入妙境,Elemental Realms
黑井：刺客之道,DARKWELL:Assassin's Choice
闹鬼电梯,Haunted Elevator
剑与远征：启程,AFK Journey
取货点模拟器,Pickup Point Simulator
直播间开卡模拟器,Pack Master
剪纸美术馆-成长,Papercut Art Gallery-Growth
三国时代3,SanGuos3
地牢猎人,Dark Hunter
老婆任务2,Waifu Quest 2
前哨站3,Outpost 3
桌面猫猫,Cat On My Desktop
危地马拉之谜,Myst of Guatemala
异星归家,Stellar Return
学生时代：入学,School Days
波普档案,Bopp File
猫之旅,CAT JOURNEY
放置仙途,fzxt
女神之光,nszg
键盘侠之魂,Keyboard Souls
五重塔,Five fold tower
反抗幸存者,Defiance Survivors
巴黎2000年,Paris in 2000 Years
东京火车４,Tokyo Train 4
冲出盖娅星：启航,Escape Gaia:Departure
这是我的公司,This Company Of Mime
猫噗猫噗,Catbo
幸存者的黎明,Dawn of Survivor
暴君领域：序章,Tyrant's Realm: Prelude
鳴蟇村,NARIBIKIMURA
密室逃脱游戏 - 穿越时空,Time Travel: Escape Room Game
迷你明星记忆,Mini Star Memory
嗨喵乐园,HiPurrLand
快乐的女孩子,HAPPY girls
深渊联盟,League of Abyss
爱尔兰隐藏的101只猫,101 Cats Hidden in Ireland
印度隐藏的101只猫,101 Cats Hidden in India
柏林隐藏的101只猫,101 Cats Hidden in Berlin
卓越传说,Legend of Excellence
通天之井,The Well of Heaven-Reaching
天空律动,Sky Rhythm
死亡楼梯:九十九层,DeathStairwell99F
最后的空洞,The Last Hollow
影像小剧场,Photo Playhouse
在巴西隐藏的101只猫,101 Cats Hidden in Brazil
纳尔的疯狂工艺！,Nerl's Crazy C”rough”t!
回收中心模拟器：序章,Recycling Center Simulator: Prologue
彼岸同心,Together in Between: Chapter One
神话废墟,Mythical Ruins
隐藏的猫咪入侵威尼斯,Hidden Cats Invade Venice
粉碎俄罗斯方块,Tetris Crush
舔狗,The Simp
君与天下,JunYuTianXia
阿姆斯特丹隐藏的101只猫,101 Cats Hidden in Amsterdam
我委托了一些兔子10,I commissioned some bunnies 10
墨西哥隐藏的101只猫,101 Cats Hidden in Mexico
种子,Seeds
超级扫雷,Super M Sweeper
恐龙快跑,Dinosaur Running
上海隐藏的101只猫,101 Cats Hidden in Shanghai
