game_name,trainer_name,trainer_url,download_url
Assassin’s Creed Valhalla,Assassin’s Creed Valhalla Trainer,https://flingtrainer.com/trainer/assassins-creed-valhalla-trainer-1670681753/,"https://flingtrainer.com/downloads/GCn4E8D16W-Bsrl6s1OzkQ,,"
ASTLIBRA Revision,ASTLIBRA Revision Trainer,https://flingtrainer.com/trainer/astlibra-revision-trainer/,"https://flingtrainer.com/downloads/Lc60ga_b3V_gFk-DZeJIhQ,,"
Astria Ascending,Astria Ascending Trainer,https://flingtrainer.com/trainer/astria-ascending-trainer/,"https://flingtrainer.com/downloads/qSoIoXMjrGOwp2L2wv7PQw,,"
Astroneer,Astroneer Trainer,https://flingtrainer.com/trainer/astroneer-trainer/,"https://flingtrainer.com/downloads/OgSwIKvqeh6NkXXLGSljxQ,,"
Atelier Lulua: The Scion of Arland,Atelier Lulua: The Scion of Arland Trainer,https://flingtrainer.com/trainer/atelier-lulua-the-scion-of-arland-trainer/,"https://flingtrainer.com/downloads/H36jZJvHOlHHKDCF_65icw,,"
Atelier Resleriana: The Red Alchemist & the White Guardian,Atelier Resleriana: The Red Alchemist & the White Guardian Trainer,https://flingtrainer.com/trainer/atelier-resleriana-the-red-alchemist-the-white-guardian-trainer/,"https://flingtrainer.com/downloads/5c1Tl3wahqduKOBbf5lVYA,,"
Atelier Ryza 2: Lost Legends & the Secret Fairy,Atelier Ryza 2: Lost Legends & the Secret Fairy Trainer,https://flingtrainer.com/trainer/atelier-ryza-2-lost-legends-the-secret-fairy-trainer/,"https://flingtrainer.com/downloads/HHFYA3XWLtQG9bqn2ibiwg,,"
Atelier Ryza 3: Alchemist of the End & the Secret Key,Atelier Ryza 3: Alchemist of the End & the Secret Key Trainer,https://flingtrainer.com/trainer/atelier-ryza-3-alchemist-of-the-end-the-secret-key-trainer/,"https://flingtrainer.com/downloads/bDsDVvFF57iHlcY6cyi6lw,,"
Atelier Ryza: Ever Darkness & the Secret Hideout,Atelier Ryza: Ever Darkness & the Secret Hideout Trainer,https://flingtrainer.com/trainer/atelier-ryza-ever-darkness-the-secret-hideout-trainer/,"https://flingtrainer.com/downloads/uKpfjjeOwjH8BYSUSxja7Q,,"
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,Atelier Yumia: The Alchemist of Memories & the Envisioned Land Trainer,https://flingtrainer.com/trainer/atelier-yumia-the-alchemist-of-memories-the-envisioned-land-trainer/,"https://flingtrainer.com/downloads/4Y7X4pwDcIrHJHS-8zCoXw,,"
Atlas Fallen,Atlas Fallen Trainer,https://flingtrainer.com/trainer/atlas-fallen-trainer/,"https://flingtrainer.com/downloads/hyOAv6QXWtWxp9p9CvWMYw,,"
Atomic Heart,Atomic Heart Trainer,https://flingtrainer.com/trainer/atomic-heart-trainer/,"https://flingtrainer.com/downloads/X2fq6HvOs_dG65ciAYzysA,,"
Avatar: Frontiers of Pandora,Avatar: Frontiers of Pandora Trainer,https://flingtrainer.com/trainer/avatar-frontiers-of-pandora-trainer/,"https://flingtrainer.com/downloads/Fh5BujLv5PiF9C9oUSKRQw,,"
Avowed,Avowed Trainer,https://flingtrainer.com/trainer/avowed-trainer/,"https://flingtrainer.com/downloads/eoyl3ttFxvqSbl1GWUxU_w,,"
Azur Lane: Crosswave,Azur Lane: Crosswave Trainer,https://flingtrainer.com/trainer/azur-lane-crosswave-trainer/,"https://flingtrainer.com/downloads/DVRQU8KQA8rUNhEyvEylBw,,"
A Plague Tale: Innocence,A Plague Tale: Innocence Trainer,https://flingtrainer.com/trainer/a-plague-tale-innocence-trainer/,"https://flingtrainer.com/downloads/mHS4mNBaYik_SGKaih95Sg,,"
Back 4 Blood,Back 4 Blood Trainer,https://flingtrainer.com/trainer/back-4-blood-trainer/,"https://flingtrainer.com/downloads/etHEGnLagyVDL0LMutMl5Q,,"
Baldur’s Gate 3,Baldur’s Gate 3 Trainer,https://flingtrainer.com/trainer/baldurs-gate-3-trainer/,"https://flingtrainer.com/downloads/8YpIZ47NXi48pAid1DyKmw,,"
Banishers: Ghosts of New Eden,Banishers: Ghosts of New Eden Trainer,https://flingtrainer.com/trainer/banishers-ghosts-of-new-eden-trainer/,"https://flingtrainer.com/downloads/9sQCi0_Hty-rAbdUSkjjpA,,"
Banner of the Maid,Banner of the Maid Trainer,https://flingtrainer.com/trainer/banner-of-the-maid-trainer/,"https://flingtrainer.com/downloads/OE0qInjdguzeVmM5MiBJEA,,"
Battlefield V,Battlefield V Trainer,https://flingtrainer.com/trainer/battlefield-v-trainer-1768400653/,"https://flingtrainer.com/downloads/6fgj15Z0OmAa73AMLmCKrA,,"
Bellwright,Bellwright Trainer,https://flingtrainer.com/trainer/bellwright-trainer/,"https://flingtrainer.com/downloads/zpsjizoWxu9VkiESyJW8bg,,"
Big Bia,Big Bia Trainer,https://flingtrainer.com/trainer/big-bia-trainer/,"https://flingtrainer.com/downloads/S5cy89zfMoraxQOEOvXAjg,,"
Biomutant,Biomutant Trainer,https://flingtrainer.com/trainer/biomutant-trainer/,"https://flingtrainer.com/downloads/Ya0_WDx1qAUv8u-P9JHNiQ,,"
Black Myth: Wukong,Black Myth: Wukong Trainer,https://flingtrainer.com/trainer/black-myth-wukong-trainer/,"https://flingtrainer.com/downloads/J0ZX9_hiI3QYHi9EG5A7vw,,"
Blasphemous,Blasphemous Trainer,https://flingtrainer.com/trainer/blasphemous-trainer/,"https://flingtrainer.com/downloads/ClpG2gSIw3mS-5C_hmwfow,,"
Blasphemous 2,Blasphemous 2 Trainer,https://flingtrainer.com/trainer/blasphemous-2-trainer/,"https://flingtrainer.com/downloads/oskvmlmINZjvYYcFZUxgcA,,"
BlazBlue Entropy Effect,BlazBlue Entropy Effect Trainer,https://flingtrainer.com/trainer/blazblue-entropy-effect-trainer/,"https://flingtrainer.com/downloads/9Dn8e1EGdXXYyHh8fSUeAg,,"
Bloodstained: Ritual of the Night,Bloodstained: Ritual of the Night Trainer,https://flingtrainer.com/trainer/bloodstained-ritual-of-the-night-trainer/,"https://flingtrainer.com/downloads/gS5Oz2hogBsRtlNC0K8dCQ,,"
Bloody Spell,Bloody Spell Trainer,https://flingtrainer.com/trainer/bloody-spell-trainer/,"https://flingtrainer.com/downloads/0N1OB3Y639gxtL6wl1notQ,,"
Blue Prince,Blue Prince Trainer,https://flingtrainer.com/trainer/blue-prince-trainer/,"https://flingtrainer.com/downloads/zTa7hanZe8pah2ErNTcVRw,,"
Borderlands 3,Borderlands 3 Trainer,https://flingtrainer.com/trainer/borderlands-3-trainer-1768400688/,"https://flingtrainer.com/downloads/Gnf8r7Z3zZB28WNDF-IOPg,,"
Borderlands 4,Borderlands 4 Trainer,https://flingtrainer.com/trainer/borderlands-4-trainer/,"https://flingtrainer.com/downloads/va9Raens2LFA6eRgKixX0w,,"
